PARTICIPANT_CODE,DISTRICT,POSTCODE
4593782HST,,6530
4593795HST,,6530
4593810HST,,1020
4593822HST,,9880
4593848JSE,,6770
4593850JSE,,2310
4593863JSE,,2310
4602545HST,,9770
4602558HST,,9770
4602573HST,,8300
4602586HST,,9745
4602600HST,,8650
4602613HST,,9810
4602872HST,,2310
4602885HST,,2310
4602904HST,,5206
4602912HST,,5206
4602938HST,,5206
4602940HST,,5206
4595474JSE,,9338
4595496JSE,,7630
4595501JSE,,7630
4595813JSE,,2650
4595826JSE,,2650
4595839JSE,,2650
4595841JSE,,39
4595854JSE,,39
4595867JSE,,2125
4595878JSE,,39
4629782HST,,2265
4629795HST,,2265
4629810HST,,2265
4629822HST,,2265
4629835HST,,2265
4629850HST,,9550
4629863HST,,9550
4629889HST,,700
4629891HST,,700
4629916HST,,700
4629929HST,,2265
4629944HST,,2430
4629957HST,,1035
4629972HST,,1035
4517188HST,,8575
4517202HST,,9660
4517215HST,,9660
4517230HST,,2670
4517243HST,,2310
4517269HST,,8450
4517271HST,,9650
4517297HST,,2610
4517309HST,,2780
4517311HST,,8450
4517324HST,,9410
4517337HST,,8575
4517344HST,,9650
4517352HST,,2521
4467649HST,,7630
4467651HST,,7630
4599877HST,,1185
4599881HST,,1185
4599892HST,,1185
4599904HST,,1185
4599917HST,,9765
4599920HST,,9595
4599932HST,,9830
4599958HST,,9650
4599960HST,,8670
4599973HST,,8670
4599999HST,,8670
4600009HST,,9570
4600024HST,,6530
4600037HST,,9445
4600052HST,,9445
4600065HST,,1185
4600080HST,,9810
4600093HST,,4720
4608057HST,,9810
4608069HST,,4610
4608085HST,,2410
4608098HST,,2455
4608108HST,,2387
4608112HST,,9765
4608125HST,,2430
4608138HST,,2470
4608140HST,,2470
4608153HST,,2940
4608166HST,,9800
4608179HST,,9830
4608181HST,,6620
4608194HST,,3100
4608493HST,,9670
4608505HST,,9670
4608520HST,,9670
4608533HST,,9670
4608546HST,,9670
4608559HST,,9670
4608561HST,,9670
4608574HST,,2315
4608587HST,,6620
4608593HST,,1512
4608601HST,,6620
4608614HST,,9650
4608627HST,,6530
4601462JSE,,9700
4601475JSE,,0
4601490JSE,,9580
4602639HST,,2320
4602641HST,,2401
4602667HST,,8340
4602674HST,,8710
4602682HST,,1780
4602695HST,,5780
4602707HST,,6210
4602713HST,,6210
4602722HST,,5960
4602735HST,,6187
4602748HST,,2610
4602750HST,,2610
4602763HST,,2610
4602776HST,,2610
4602789HST,,2680
4602803HST,,2680
4602816HST,,2610
4602829HST,,2420
4602844HST,,9880
4602857HST,,2310
4603179HST,,9338
4603182JSE,,2740
4603195HST,,7605
4603207JSE,,2729
4603218JSE,,2729
4603222JSE,,2729
4611090HST,,9730
4611102HST,,2610
4611128HST,,9730
4611130HST,,3291
4611156HST,,2670
4611169HST,,9480
4611171HST,,2670
4611197HST,,9480
4611209HST,,2670
4611224HST,,2670
4611237HST,,9480
4611252HST,,2670
4611265HST,,2670
4611278HST,,9680
4611280HST,,2670
4611850HST,,8585
4611929HST,,9735
4611931HST,,9770
4611957HST,,2320
4611962HST,,1185
4611985HST,,2271
4611998HST,,2271
4612008HST,,1185
4612010HST,,1185
4612023HST,,1185
4612036HST,,1050
4612049HST,,2271
4612051HST,,1185
4612064HST,,1185
4612315HST,,1185
4612322HST,,1095
4612348HST,,2271
4612350HST,,2271
4621638JSE,,3002
4621653JSE,,3100
4621666JSE,,3960
4621679JSE,,3100
4621694JSE,,3183
4621706JSE,,3002
4621721JSE,,3002
4621734JSE,,3960
4621755JSE,,3100
4621762JSE,,3865
4621775JSE,,3002
4621788JSE,,3002
4621790JSE,,3180
4621802JSE,,3865
4621815JSE,,3865
4621828JSE,,3180
4621830JSE,,3180
4621843JSE,,3180
4621856JSE,,3180
4621869JSE,,3180
4621871JSE,,3180
4621897JSE,,3180
4621909JSE,,3100
4554510HST,,1740
4554523HST,,2690
4554536HST,,9610
4554551HST,,2680
4554564HST,,1001
4554577HST,,1001
4554580HST,,2690
4554592HST,,9940
4554604HST,,9450
4554617HST,,9958
4554629HST,,9958
4554632HST,,9940
4554957HST,,3310
4554962HST,,2271
4563365HST,,9480
4563380HST,,2710
4563393HST,,2710
4563418HST,,2710
4563420HST,,2710
4563446HST,,2710
4563459HST,,2710
4563474HST,,2710
4563487HST,,2710
4563501HST,,2710
4563514HST,,2710
4563527HST,,2710
4563542HST,,2520
4563555HST,,2270
4563570HST,,2270
4563583HST,,2270
4563608HST,,2270
4563610HST,,2270
4563636HST,,2270
4615764HST,,1450
4615777HST,,6530
4615792HST,,9720
4608206HST,,2456
4608219HST,,5980
4608234HST,,9986
4608247HST,,1100
4608262HST,,1100
4608275HST,,4630
4608288HST,,8550
4608302HST,,6620
4608315HST,,6620
4608330HST,,9810
4608343HST,,6930
4608369HST,,9913
4608371HST,,9913
4608397HST,,9913
4608409HST,,9913
4608424HST,,9913
4608437HST,,9913
4608452HST,,9913
4608465HST,,9670
4608480HST,,9670
4617945HST,,9745
4617958HST,,9410
4617973HST,,9410
4617986HST,,9445
4617999HST,,9445
4618011HST,,9445
4618024HST,,9500
4618043HST,,9595
4618052HST,,9445
4618065HST,,9595
4618078HST,,9595
4618080HST,,9445
4618093HST,,9595
4618105HST,,9595
4618118HST,,2760
4618120HST,,9445
4618133HST,,9595
4618146HST,,2200
4618159HST,,2200
4611293HST,,9680
4611305HST,,2670
4611318HST,,2670
4611320HST,,9480
4611333HST,,9480
4611346HST,,2670
4611359HST,,9480
4611361HST,,9680
4611387HST,,6660
4611399HST,,2775
4611414HST,,2775
4611427HST,,2775
4611438HST,,2775
4611455HST,,2456
4611468HST,,6531
4612077HST,,1050
4612085HST,,1185
4612092HST,,1095
4612104HST,,1095
4612124HST,,1185
4612132HST,,1095
4612158HST,,1095
4612160HST,,1095
4612186HST,,1095
4612199HST,,1185
4612213HST,,1095
4612226HST,,1095
4612241HST,,1050
4612254HST,,1095
4612276HST,,1095
4612282HST,,1185
4612307HST,,2320
4619774HST,,2350
4619977JSE,,6800
4619988JSE,,7130
4619992JSE,,6740
4647792JSE,,5200
4647823JSE,,1912
4647832JSE,,0
4516878JSE,,5206
4516880JSE,,5206
4516893JSE,,5600
4516905JSE,,5600
4516918JSE,,5600
4516920JSE,,2021
4516933JSE,,2021
4516946JSE,,2021
4517012HST,,9830
4517025HST,,9720
4517040HST,,9705
4517053HST,,2521
4517079HST,,2310
4517081HST,,9705
4517106HST,,2620
4517119HST,,9410
4517134HST,,2310
4517147HST,,9410
4517162HST,,2521
4517175HST,,2670
4563649HST,,2270
4563651HST,,2270
4563664HST,,2270
4563677HST,,2270
4563687HST,,2270
4563692HST,,2270
4563704HST,,2270
4563717HST,,2270
4563726HST,,2270
4563732HST,,2270
4563745HST,,2270
4563758HST,,2270
4563773HST,,2270
4563786HST,,2270
4563800HST,,2270
4563813HST,,2270
4590285HST,,2310
4590298HST,,8575
4590325JSE,,2470
4590338JSE,,2470
4590340JSE,,2470
4624836HST,,2300
4624849HST,,2300
4624864HST,,9540
4624877HST,,2000
4624892HST,,9810
4624904HST,,9640
4624920HST,,7010
4624932HST,,9745
4624958HST,,9880
4624960HST,,7550
4624986HST,,2092
4624999HST,,2092
4625009HST,,2092
4625024JSE,,9445
4625037JSE,,9515
4625043JSE,,6885
4625052JSE,,9515
4625065JSE,,2670
4625078JSE,,9445
4617836HST,,6620
4617851HST,,7355
4617864HST,,7355
4617881HST,,7355
4617892HST,,7355
4617917HST,,9745
4617920HST,,9770
4618174HST,,2200
4618187HST,,2200
4618195JSE,,2660
4618214JSE,,9400
4618227JSE,,4640
4619787HST,,3340
4619797HST,,2260
4619814HST,,2670
4619827HST,,2630
4619842HST,,2670
4619855HST,,2400
4619868HST,,2400
4619870HST,,2780
4619883HST,,1056
4619896HST,,1056
4619908HST,,1056
4619910HST,,1056
4619923HST,,1056
4619936HST,,9725
4619949HST,,9700
4619951HST,,9630
4628669JSE,,6770
4628671JSE,,2200
4554333HST,,2515
4554346HST,,9600
4554361HST,,9600
4554374HST,,9940
4554399HST,,1930
4554401HST,,9595
4554427HST,,3350
4554438HST,,9913
4554455HST,,2660
4554468HST,,2660
4554483HST,,6810
4554496HST,,6810
4629985HST,,700
4629998HST,,208
4630005HST,,2430
4630018HST,,208
4630020HST,,2265
4630033HST,,1035
4630046HST,,1035
4630059HST,,700
4630061HST,,2265
4630074HST,,2265
4630087HST,,1035
4630098HST,,2265
4630114HST,,2265
4630127HST,,1035
4630142HST,,2265
4630155HST,,2265
4630170HST,,8570
4630183HST,,8570
4630208HST,,8340
4630210HST,,3150
4630236HST,,3180
4639625HST,,2420
4639638HST,,9860
4639640HST,,9880
4639653HST,,9882
4639666HST,,9445
4639679HST,,9445
4639694HST,,9882
4639706HST,,9725
4639721HST,,9630
4639734HST,,9630
4639755HST,,9445
4639762HST,,9445
4639788HST,,9445
4639790HST,,9630
4639815HST,,9630
4639828HST,,9882
4639830HST,,9630
4639856HST,,9630
4624076JSE,,3835
4624089JSE,,3835
4624091JSE,,3835
4624509JSE,,9700
4624714HST,,9445
4624739HST,,6620
4624742HST,,2265
4624768HST,,2670
4624770HST,,9400
4624796HST,,7355
4624808HST,,2740
4624810HST,,2740
4632425HST,,9445
4632445HST,,9550
4632458HST,,9550
4632473HST,,2570
4632486HST,,4720
4632500HST,,2670
4632513HST,,9640
4632539HST,,6120
4632541HST,,6375
4632567HST,,2600
4632577JSE,,6740
4632595JSE,,6930
4632607JSE,,5530
4632622JSE,,1050
4632635JSE,,920
4632648JSE,,6742
4632663JSE,,2755
4632676JSE,,2755
4625080JSE,,2670
4625093JSE,,8603
4625105JSE,,8603
4625118JSE,,2570
4625120JSE,,2670
4625133JSE,,9660
4625146JSE,,9445
4625161JSE,,9660
4625174JSE,,250
4625195JSE,,9445
4625201JSE,,8603
4625227JSE,,8603
4625234JSE,,9680
4625255JSE,,2670
4625268JSE,,6885
4625283JSE,,250
4625296JSE,,2670
4625310JSE,,2310
4633475JSE,,250
4633490JSE,,8603
4633502JSE,,2700
4633515JSE,,1912
4633530JSE,,6885
4633543JSE,,7250
4633569JSE,,7280
4633571JSE,,0
4633584JSE,,0
4633597JSE,,7230
4633609JSE,,6740
4633611JSE,,1906
4633624JSE,,1906
4633637JSE,,1912
4633645JSE,,5206
4636169HST,,2660
4636171HST,,9460
4636197HST,,9730
4636209HST,,9480
4636224HST,,9450
4636237HST,,9730
4636252HST,,9810
4636265HST,,9480
4636280HST,,9730
4636293HST,,9810
4636305HST,,9480
4636320HST,,2670
4636333HST,,8712
4636359HST,,5920
4628887JSE,,2660
4628894JSE,,2770
4628914JSE,,2770
4628927JSE,,9810
4628942JSE,,4700
4630249HST,,3900
4630264HST,,3900
4630277HST,,3150
4630289HST,,3100
4630304HST,,3183
4630317HST,,3900
4630332HST,,3100
4630345HST,,3100
4630360HST,,3150
4630373HST,,3100
4630399HST,,3180
4630400HST,,2265
4630426HST,,3100
4630439HST,,3180
4630441HST,,3900
4638636HST,,7010
4518788HST,,9706
4518790HST,,9610
4640122HST,,9725
4640148HST,,9703
4640150HST,,9725
4640176HST,,9725
4640189HST,,9700
4640203HST,,9725
4640216HST,,9700
4640231HST,,9535
4640244HST,,9700
4640263HST,,6300
4640272HST,,9700
4640298HST,,9700
4640302HST,,9700
4640325HST,,9725
4640338HST,,9700
4640340HST,,9700
4640366HST,,9460
4632214HST,,0
4632227HST,,8650
4632234HST,,8611
4632242HST,,8340
4632255HST,,9680
4632268HST,,8340
4632270HST,,2600
4632283HST,,2600
4632296HST,,2600
4632308HST,,2600
4632310HST,,2600
4632323HST,,2600
4632349HST,,2600
4632351HST,,2600
4632377HST,,2600
4632386HST,,9445
4632404HST,,2400
4632417HST,,9680
4632689JSE,,2755
4632691JSE,,2755
4632703JSE,,2755
4632716JSE,,2755
4632729JSE,,2755
4632731JSE,,2755
4632744JSE,,2755
4632757JSE,,2755
4632768JSE,,2755
4632772JSE,,2755
4632785JSE,,2755
4641682HST,,3080
4641707HST,,2270
4641713HST,,9780
4641735HST,,2520
4641748HST,,1095
4641763HST,,2300
4641776HST,,2300
4641789HST,,2300
4641803HST,,3900
4641816HST,,9735
4641831HST,,3290
4641844HST,,3290
4641857HST,,3290
4641865HST,,3290
4641872HST,,3290
4641885HST,,3290
4641898HST,,7140
4641904HST,,7140
4641912HST,,7140
4644124JSE,,450
4644132JSE,,450
4644145JSE,,9880
4644160JSE,,2380
4645121HST,,7580
4645147HST,,2610
4645153HST,,9932
4645175HST,,9840
4636361HST,,5920
4636387HST,,5920
4636399HST,,5435
4636414HST,,5920
4636427HST,,5920
4636438HST,,5920
4636442HST,,5920
4636455HST,,5920
4636468HST,,5920
4636470HST,,2300
4636483HST,,39
4636496HST,,3508
4636508HST,,6570
4636510HST,,2740
4636523HST,,9670
4636536JSE,,9460
4614681JSE,,9300
4614694JSE,,9300
4614706JSE,,9300
4614719JSE,,9300
4614721JSE,,9460
4614734JSE,,9460
4614747JSE,,9460
4614755JSE,,3450
4614762JSE,,3450
4614775JSE,,4000
4614788JSE,,4720
4614790JSE,,4700
4563839HST,,2270
4563841HST,,2270
4563854HST,,2270
4563878HST,,2270
4563882HST,,2270
4563907HST,,2270
4563917HST,,2270
4563935HST,,2270
4563948HST,,2270
4563963HST,,2270
4563976HST,,2270
4563991HST,,2270
4564001HST,,2270
4564027HST,,2270
4564030HST,,2270
4564055HST,,2270
4564068HST,,2270
4564083HST,,2270
4564096HST,,2270
4564108HST,,2270
4564110HST,,2270
4564123HST,,2270
4564136HST,,2270
4564149HST,,2270
4564151HST,,2270
4519397HST,,9860
4519409HST,,9860
4519424HST,,9860
4519437HST,,9860
4519452HST,,9860
4519465HST,,9860
4519480HST,,9860
4519493HST,,9860
4519518HST,,8610
4519520HST,,8650
4519533HST,,8610
4519559HST,,9650
4519561HST,,9650
4519587HST,,9650
4519593HST,,9650
4519601HST,,9650
4519614HST,,9650
4519627HST,,2470
4640379HST,,700
4640394HST,,837
4640406HST,,700
4640421HST,,1050
4640434HST,,1050
4640454HST,,2200
4640462HST,,1050
4640475HST,,1050
4640488HST,,837
4640490HST,,2200
4640502HST,,2009
4640515HST,,2200
4640528HST,,2009
4640530HST,,700
4640543HST,,837
4640556HST,,700
4640569HST,,700
4640584HST,,1050
4640597HST,,2775
4641071JSE,,2770
4641084JSE,,250
4641109JSE,,6885
4641111JSE,,6885
4641674HST,,9830
4511595HST,,9974
4511607JSE,,1511
4511616JSE,,1511
4511622JSE,,9300
4511635JSE,,9300
4511648JSE,,9300
4511650JSE,,9300
4511663JSE,,9300
4511676JSE,,9300
4511689JSE,,1512
4641925HST,,7140
4641938HST,,7140
4641940HST,,7140
4641953HST,,7140
4641979HST,,7140
4641981HST,,9830
4642004HST,,2610
4642017HST,,2725
4642032HST,,2725
4642045HST,,2725
4642060HST,,2725
4642073HST,,2725
4642099HST,,2725
4642100HST,,2725
4642113HST,,2725
4513246HST,,9700
4513259HST,,9700
4513274HST,,9700
4513287HST,,9700
4513301HST,,9700
4513314HST,,9700
4513331JSE,,9700
4513342JSE,,0
4513355JSE,,250
4512569JSE,,9500
4512571JSE,,8650
4512584JSE,,7781
4512609JSE,,7781
4512611JSE,,2650
4512637JSE,,2456
4512645JSE,,8000
4512665JSE,,9630
4512678JSE,,9630
4512693JSE,,2670
4512705JSE,,2670
4512718JSE,,2670
4512733JSE,,5480
4512746JSE,,5480
4512761JSE,,5480
4512774JSE,,5480
4514438HST,,7345
4514453HST,,2780
4514466HST,,1110
4514479HST,,8530
4514494HST,,8530
4514506HST,,8530
4514519HST,,2310
4514521HST,,2310
4514534HST,,2310
4513912JSE,,7250
4513925JSE,,2523
4513940JSE,,2630
4645188HST,,2670
4645202HST,,6185
4645215HST,,2400
4645230HST,,6120
4645243HST,,2310
4645269HST,,3395
4645271HST,,9707
4645297JSE,,6885
4645309JSE,,6065
4645311JSE,,6065
4645324JSE,,6065
4645337JSE,,6065
4645344JSE,,6065
4645352JSE,,6065
4515483JSE,,2610
4515508HST,,7300
4515510HST,,6400
4515523HST,,9740
4515536HST,,2430
4515549HST,,9480
4515551JSE,,3183
4516579JSE,,3275
4516581JSE,,5206
4516606JSE,,5206
4516619JSE,,5206
4516634JSE,,5206
4516647JSE,,5206
4648454JSE,,0
4564164HST,,2270
4564177HST,,2270
4564182HST,,2270
4564192HST,,2270
4564204HST,,2270
4564221HST,,2270
4564232HST,,2270
4564258HST,,2270
4564260HST,,2270
4564286HST,,2270
4564299HST,,2270
4564300HST,,2270
4564326HST,,2270
4564339HST,,2270
4564354HST,,2270
4564367HST,,2270
4564382HST,,2270
4572411HST,,1050
4572424HST,,1050
4572437HST,,9908
4572441HST,,6130
4572452HST,,9650
4572478HST,,9670
4572480HST,,5530
4572505HST,,8535
4572518HST,,2660
4572533HST,,9570
4572546HST,,9660
4572561HST,,1450
4572574HST,,2410
4590761HST,,2260
4590774HST,,1490
4590787HST,,9650
4590797HST,,9660
4590801HST,,2650
4590814HST,,9660
4590827HST,,2650
4590836HST,,2650
4639869HST,,9630
4639884HST,,9445
4639897HST,,9595
4639911HST,,9630
4639924HST,,9595
4639946HST,,2420
4639952HST,,9700
4639978HST,,9595
4639980HST,,9595
4640000HST,,9630
4640013HST,,9630
4640026HST,,9595
4640039HST,,9595
4640041HST,,9595
4640054HST,,9595
4640067HST,,9595
4640072HST,,9595
4640082HST,,9595
4640095HST,,9595
4640107HST,,9595
4640111HST,,2660
4511772JSE,,2515
4512797JSE,,8730
4512801JSE,,5480
4512827JSE,,9810
4513084HST,,2310
4513109HST,,2940
4513111HST,,2940
4513137HST,,2755
4513140HST,,1120
4513152HST,,1500
4513165HST,,1120
4513178HST,,1120
4513180HST,,1500
4513193HST,,6500
4513205HST,,9610
4513218HST,,9650
4513220HST,,2523
4513233HST,,9700
4514547HST,,2310
4514551HST,,2310
4514562HST,,2310
4514575HST,,2310
4514588HST,,2310
4514590HST,,2310
4514602HST,,2310
4514615HST,,2310
4514630HST,,2310
4514643HST,,2310
4514669HST,,2310
4514671HST,,2310
4514697HST,,2310
4514709HST,,2310
4514724HST,,9932
4514737HST,,1120
4514752HST,,9730
4514765HST,,9730
4514780JSE,,9660
4522483JSE,,9500
4522496JSE,,7781
4522549HST,,2690
4522551HST,,9630
4522577HST,,9725
4522580HST,,4710
4522604HST,,4710
4522617HST,,4710
4522629HST,,4710
4522645HST,,4710
4522658HST,,4710
4522673HST,,4710
4522686HST,,4710
4522700HST,,4710
4522713HST,,4710
4522739HST,,4710
4523467JSE,,6743
4523472JSE,,7185
4523498JSE,,2930
4523506JSE,,2930
4523525JSE,,2930
4523538JSE,,2930
4523553JSE,,6760
4523566JSE,,2930
4523581JSE,,5500
4523594JSE,,6770
4523606JSE,,9445
4523621JSE,,3290
4523634JSE,,3290
4523647JSE,,3290
4523658JSE,,0
4523662JSE,,8650
4523675JSE,,3000
4523688JSE,,3000
4523690JSE,,3000
4523702JSE,,6531
4523715JSE,,0
4516662JSE,,5206
4516675JSE,,5206
4516688JSE,,5206
4516702JSE,,5206
4516715JSE,,5206
4516730JSE,,5206
4516743JSE,,5206
4516769JSE,,5206
4516771JSE,,5206
4516797JSE,,5206
4516809JSE,,5206
4516824JSE,,5206
4516837JSE,,5206
4516849JSE,,5206
4516852JSE,,5206
4516865JSE,,5206
4523974JSE,,9951
4554985HST,,3100
4554998HST,,3100
4555010HST,,6531
4555023HST,,6620
4555049HST,,6531
4555051HST,,6531
4555077JSE,,9650
4555085JSE,,9600
4555092JSE,,1620
4555117JSE,,9700
4555124JSE,,9700
4555145JSE,,9450
4555158JSE,,9535
4555173JSE,,9730
4555186JSE,,9535
4555200JSE,,132
4555213JSE,,2196
4555239JSE,,132
4555241JSE,,132
4572587HST,,2245
4572601HST,,9703
4572614HST,,2670
4572632HST,,9703
4572642HST,,8600
4572668HST,,9747
4572670HST,,9978
4572696HST,,2809
4572708HST,,9725
4572723HST,,2809
4622975JSE,,9940
4622995JSE,,9936
4623005JSE,,9936
4623020JSE,,2520
4623033JSE,,9936
4623059JSE,,1020
4623061JSE,,152
4630454HST,,3900
4630467HST,,3100
4630470HST,,3180
4630482HST,,3180
4630495HST,,2265
4630507HST,,2265
4630519HST,,2265
4630522HST,,2265
4630535HST,,3100
4630548HST,,3180
4630563HST,,3100
4630576HST,,2265
4630591HST,,3180
4630603HST,,2265
4630629HST,,3900
4630631HST,,2380
4630657HST,,3100
4630661HST,,8570
4630685JSE,,1020
4630698JSE,,1020
4630712JSE,,0
4630725JSE,,9700
4535593HST,,7345
4535605HST,,6620
4535620HST,,6620
4535633HST,,7345
4535646HST,,6854
4535661HST,,3310
4535674HST,,3310
4535690HST,,3310
4535701HST,,3310
4519315HST,,6300
4519343HST,,9300
4519369HST,,9810
4519371HST,,1500
4530276HST,,9410
4530282HST,,9670
4530307HST,,9660
4530315HST,,9410
4530335HST,,9356
4530348HST,,9356
4530363HST,,9356
4530376HST,,9410
4530391HST,,9670
4530403HST,,2680
4522741HST,,2310
4522754HST,,2455
4522767HST,,9707
4522771HST,,7780
4522782HST,,7780
4522795HST,,0
4522807HST,,0
4522810HST,,6130
4522822HST,,8550
4522835HST,,9640
4522848HST,,6140
4522850HST,,6140
4522863HST,,6130
4522889HST,,6105
4522891HST,,5540
4522916HST,,8575
4522929HST,,8575
4523315HST,,9480
4523322HST,,8575
4531309JSE,,3652
4531324JSE,,3652
4531337JSE,,9535
4531352JSE,,3652
4531365JSE,,9533
4531380JSE,,9535
4531393JSE,,2300
4531418JSE,,4200
4531420JSE,,5206
4531446JSE,,152
4531459JSE,,5206
4531461JSE,,2740
4531487JSE,,5206
4531496JSE,,5206
4531514JSE,,2727
4531527JSE,,2727
4531542JSE,,2727
4531555JSE,,2727
4531568JSE,,2727
4531570JSE,,2727
4523728JSE,,0
4523730JSE,,3100
4523756JSE,,0
4523769JSE,,3100
4523784JSE,,0
4523797JSE,,0
4523811JSE,,350
4523824JSE,,0
4523849JSE,,1020
4523852JSE,,7130
4523865JSE,,7130
4523880JSE,,5460
4523893JSE,,5460
4523918JSE,,6770
4523920JSE,,6140
4523946JSE,,3650
4523959JSE,,3650
4531963JSE,,6065
4531976JSE,,6065
4531991JSE,,6065
4532001JSE,,6300
4590353JSE,,2470
4590366JSE,,2470
4590379JSE,,2970
4590381JSE,,3180
4590394JSE,,3180
4590406JSE,,3180
4590421JSE,,3180
4590434JSE,,8730
4590454JSE,,8730
4614815JSE,,1511
4614828JSE,,4575
4614843JSE,,3300
4614856JSE,,3270
4614871JSE,,3835
4614884JSE,,3760
4614897JSE,,3835
4614911JSE,,3835
4614924JSE,,4000
4614946JSE,,3245
4614952JSE,,3835
4614978JSE,,1850
4639192HST,,9730
4639204HST,,8460
4639217HST,,8600
4639232HST,,6210
4639245HST,,6210
4639260HST,,9720
4639273HST,,6210
4639299HST,,1760
4639300HST,,1760
4639313HST,,1760
4639339HST,,9595
4639341HST,,9595
4639367HST,,5460
4639373HST,,5540
4639395HST,,5540
4639407HST,,2809
4639422HST,,2680
4639435HST,,8340
4580441JSE,,7230
4580454JSE,,7270
4580470JSE,,7605
4580482JSE,,7270
4580507JSE,,7250
4580519JSE,,7270
4580535JSE,,7230
4580548JSE,,7280
4580550JSE,,3720
4580576JSE,,7270
4580589JSE,,7280
4580603JSE,,7230
4580616JSE,,7230
4580631JSE,,7625
4580644JSE,,7625
4580657JSE,,7625
4580661JSE,,7230
4580672JSE,,7230
4580685JSE,,7270
4580698JSE,,7270
4580700JSE,,7270
4519632HST,,9445
4519642HST,,9670
4519655HST,,9670
4519668HST,,9670
4519670HST,,9670
4535973HST,,9410
4535999HST,,9410
4536009HST,,9410
4536024HST,,9410
4536037HST,,9410
4536052HST,,9735
4536065HST,,9735
4536616HST,,9700
4536622HST,,2523
4536635HST,,9430
4536648HST,,9430
4536650HST,,8575
4536663HST,,2760
4536676HST,,8575
4536689HST,,8575
4536691HST,,2310
4536703HST,,9650
4537026HST,,3310
4537041HST,,3310
4537054HST,,3310
4537067HST,,3310
4537072HST,,3310
4537082HST,,3310
4537095HST,,3310
4537107HST,,3310
4537111HST,,9735
4537122HST,,9735
4537135HST,,9430
4537148HST,,9338
4537150HST,,9735
4537163HST,,9338
4537189HST,,9338
4537191HST,,9338
4537216HST,,9430
4537229HST,,9430
4530085HST,,9460
4530104HST,,9410
4530117HST,,9356
4530132HST,,9356
4530145HST,,9670
4530160HST,,9356
4530173HST,,9356
4530186HST,,9356
4530199HST,,2680
4530200HST,,2680
4530213HST,,9356
4530226HST,,9356
4530239HST,,9356
4530241HST,,2775
4530254HST,,9356
4530267HST,,9356
4538532HST,,1749
4538626JSE,,1623
4538639JSE,,9932
4538654JSE,,7130
4538667JSE,,7130
4538682JSE,,6930
4538695JSE,,6930
4538713JSE,,6930
4531121JSE,,2465
4531134JSE,,8730
4531147JSE,,6821
4531153JSE,,1020
4531162JSE,,152
4531175JSE,,152
4531188JSE,,120
4531190JSE,,9535
4531202JSE,,9535
4531215JSE,,3720
4531230JSE,,3652
4531243JSE,,9535
4531269JSE,,3270
4531271JSE,,3652
4531297JSE,,9535
4531745JSE,,6760
4531758JSE,,1051
4531760JSE,,350
4539562JSE,,2300
4539588JSE,,885
4539590JSE,,4200
4539615HST,,9670
4539628HST,,8340
4539643HST,,7532
4539656HST,,7532
4539671HST,,7645
4539684HST,,7645
4539709HST,,9600
4539711HST,,6538
4539724HST,,9986
4539742HST,,9660
4539752HST,,2265
4539765HST,,1490
4539778HST,,1490
4539780HST,,2400
4539793HST,,2230
4539805HST,,1490
4540031HST,,6130
4540044HST,,9630
4540069HST,,9540
4540072HST,,3150
4540085HST,,3150
4540108HST,,2271
4540112HST,,3100
4540138HST,,2271
4540140HST,,4000
4540166HST,,2271
4540179HST,,3100
4540194HST,,3245
4540206HST,,3245
4540219HST,,3100
4540221HST,,3100
4540234HST,,4000
4540247HST,,4000
4540250HST,,4000
4540262HST,,4000
4540275HST,,4000
4540288HST,,3245
4540290HST,,7320
4540559HST,,6250
4540561HST,,6531
4540587HST,,6250
4540593HST,,6250
4540614HST,,6620
4540627HST,,9610
4540642HST,,9515
4540655JSE,,3915
4540668JSE,,3915
4540670JSE,,0
4540683JSE,,7270
4540696JSE,,2200
4540708JSE,,2200
4540710JSE,,2200
4540723JSE,,2200
4540736JSE,,2200
4540749JSE,,2200
4540751JSE,,2200
4540764JSE,,2200
4540784JSE,,2600
4622804HST,,9610
4622817HST,,7020
4622832HST,,9660
4622845HST,,3301
4622860HST,,2520
4622913JSE,,9700
4622939JSE,,9900
4622941JSE,,9936
4622967JSE,,9940
4639450HST,,2310
4639463HST,,2310
4639489HST,,2310
4639491HST,,9445
4639516HST,,9595
4639529HST,,9595
4639544HST,,9882
4639557HST,,9700
4639564HST,,9882
4639572HST,,9860
4639585HST,,2420
4639598HST,,9445
4639603HST,,9860
4639612HST,,9700
4648507JSE,,895
4648519JSE,,895
4648522JSE,,895
4648535JSE,,895
4648548JSE,,895
4648550JSE,,895
4648563JSE,,895
4648576JSE,,895
4648591JSE,,895
4648603JSE,,895
4648629JSE,,6885
4648631JSE,,8900
4580712JSE,,7270
4580725JSE,,7270
4580738JSE,,7270
4580740JSE,,7230
4580753JSE,,7230
4580779JSE,,7230
4580781JSE,,0
4580806JSE,,0
4580819JSE,,9535
4580834JSE,,9535
4580847JSE,,9730
4580862JSE,,2420
4580875JSE,,9540
4580890JSE,,9540
4580902JSE,,9500
4580928JSE,,9540
4580930JSE,,1930
4555987HST,,7310
4555991HST,,7310
4556012HST,,7310
4556025HST,,7310
4556040HST,,7310
4556053HST,,7310
4556079HST,,9830
4556081HST,,2455
4556106HST,,2455
4556119HST,,2455
4556121HST,,2455
4556147HST,,9730
4556153HST,,9810
