PARTICIPANT_CODE,DISTRICT,POSTCODE
0055537JSE,FOURIESBURG,9725
0055547JSE,VENTERSDORP,2710
0055552JSE,KROONSTAD,9500
0055565JSE,BELLVILLE,7550
0055578JSE,VRYBURG,8673
0055580JSE,POLOKWANE,700
0055593JSE,MIDDELBURG(CAPE),5900
0055605JSE,VILJOENSKROON,9520
0055618JSE,LINDLEY,9515
0055661JSE,VIRGINIA,9430
0055633JSE,POTCHEFSTROOM,2520
0055646JSE,BOSHOF,9348
0055849JSE,JOHANNESBURG,1747
0055674JSE,KROONSTAD,9505
0055687JSE,QUEENSTOWN,5324
0055699JSE,ROBERTSON,6705
0055701JSE,TROMPSBURG,9913
0446885HST,BERGVILLE,3350
0447045HST,PRETORIA,116
0447178JSE,CALEDON,7170
0447195HST,MOOI RIVER,3300
0447217HST,PORT ELIZABETH,6015
0447222JSE,KRUGERSDORP,8240
0484761JSE,SWELLENDAM,6720
0446803JSE,EAST LONDON,5213
0446857HST,CAROLINA,1190
0446857JSE,CAROLINA,1190
0446639HST,HOWICK,3270
0446667HST,CALEDON,7250
0486372HST,AMERSFOORT,2490
0446600HST,WOLMARANSSTAD,2640
0446613HST,GRAHAMSTOWN,6140
0446124HST,REITZ,6775
0446137HST,PORT ALFRED,6191
0446149JSE,CHRISTIANA,2680
0446165JSE,BLOEMFONTEIN,9300
0446180JSE,FRANKFORT,9820
0446274JSE,LICHTENBURG,2610
0484718JSE,UNDERBERG,3257
0056582HST,ERMELO,2350
0056595HST,MOOI RIVER,3300
0455470JSE,DOUGLAS,8730
0486630JSE,GLENCOE,2930
0445796HST,KROONSTAD,9500
0445896HST,HUMANSDORP,8018
0486615HST,HOWICK,3265
0055714HST,VRYBURG,8600
0055714JSE,VRYBURG,8600
0055738JSE,ZIMBABWE,0
0055742JSE,CRADOCK,5882
0055755JSE,FICKSBURG,9730
0055768JSE,SOMERSET-WEST,7130
0055770JSE,ZIMBABWE,0
0055783JSE,POTGIETERSRUS,600
0055796JSE,PEARSTON,5860
0055808JSE,WELLINGTON,7655
0055851JSE,WARRENTON,8534
0055810JSE,HEIDELBERG(CAPE),6760
0055823JSE,PETRUSBURG,9932
0055864JSE,BLOEMFONTEIN,9300
0055877JSE,HOWICK,3280
0055880JSE,PIKETBERG,7322
0055904JSE,PIET RETIEF(TVL),2385
0055929JSE,REITZ,9810
0055932JSE,PAARL,7646
0055945JSE,GEORGE,6530
0055958JSE,IXOPO,4640
0055960JSE,TAUNG,8575
0055973HST,ALIWAL-NORTH,5530
0055973JSE,ALIWAL-NORTH,5530
0055986JSE,DELMAS,2200
0055999JSE,ZIMBABWE,0
0056009JSE,SMITHFIELD,9966
0056011JSE,PRETORIA,117
0057936HST,TAUNG,8575
0445528JSE,BRITS,250
0445530JSE,CALEDON,7233
0445584JSE,LICHTENBURG,2740
0445609HST,DELMAS,2210
0445611HST,CLOCOLAN,9735
0445624HST,CALEDON,7250
0445644JSE,BLOEMFONTEIN,9300
0445718JSE,MOLTENO,5500
0445759HST,SWAZILAND,0
0445761HST,BLOEMFONTEIN,9932
0445774HST,WOLMARANSSTAD,2630
0056716HST,KOPPIES,9540
0056825HST,PORT ELIZABETH,6100
0444093JSE,BABANANGO,3835
0444118JSE,SWELLENDAM,6740
0444120JSE,RIVERSDALE,6670
0444133JSE,RANDBURG,2021
0444146HST,SCHWEIZER-RENEKE,2780
0444174HST,NIGEL,2265
0444233JSE,LICHTENBURG,2740
0444255HST,KOPPIES,9540
0445434HST,ELLIOT,5460
0445475HST,PIETERMARITZBURG,3206
0445488HST,STANDERTON,2430
0445488JSE,STANDERTON,2430
0057216JSE,LOUIS TRICHARDT,920
0443755HST,KRUGERSDORP,1747
0443808JSE,KOPPIES,9540
0443810JSE,BETHLEHEM,9700
0443836JSE,DURBAN,4126
